"","genes","logFC","logCPM","F","PValue","FDR"
"PMAIP1","PMAIP1",-1.1049612115922,2.48572588306733,0.226896211666657,0.633835779606921,1
"LOC105610454","LOC105610454",1.34645745644546,1.66535170440852,0.226884331189092,0.633844662738073,1
"CEBPG","CEBPG",0.379840580181209,5.09496979640329,0.226858573183663,0.633863923191393,1
"MAGOH","MAGOH",0.868486942055264,3.19205536874209,0.226749025092418,0.633945852359713,1
"NEIL1","NEIL1",1.51709961266323,0.93779030856063,0.226713789085893,0.633972209934689,1
"MTHFSD","MTHFSD",-1.00043677039576,2.76483056564036,0.226497831548311,0.634133807474194,1
"CLASP2","CLASP2",-0.195567314398023,7.58171807508166,0.226214337918814,0.634346084675485,1
"INCA1","INCA1",-1.30268070128854,1.87797515385441,0.226188112926591,0.634365729928655,1
"SLIT3","SLIT3",1.10082331361278,2.47841617311497,0.22618277838546,0.634369726227016,1
"ZNF133","ZNF133",-1.4110721631566,1.45698812310966,0.225998969218955,0.634507459656436,1
"C1H1orf189","C1H1orf189",-1.46550830108024,1.12914750307329,0.22582860637793,0.634635178703449,1
"LOC106991267","LOC106991267",-1.0936440913286,2.50770092917971,0.22581741929545,0.634643567595544,1
"PPP3CC","PPP3CC",-0.248698698385411,6.33156451996714,0.22581121549673,0.634648219767048,1
"WDR89","WDR89",-0.780172878125157,3.42891274763933,0.225758360488174,0.63468785842812,1
"TMEM9B","TMEM9B",0.262385567625719,6.13136351092131,0.225594829771879,0.634810534468025,1
"KLF5","KLF5",-1.15731414099173,2.31147203221061,0.22546675689236,0.634906649115461,1
"LOC105603670","LOC105603670",0.852087754708532,3.1935291750787,0.225438823505106,0.63492761668323,1
"ZNF711","ZNF711",-0.733696340404489,3.66780280100763,0.225358986320651,0.634987553444949,1
"GTF3C6","GTF3C6",-1.00950646798204,2.75028547632279,0.225273214795327,0.635051959836005,1
"PTBP3","PTBP3",-0.348043900938766,5.3054813441489,0.225230098136177,0.635084342087588,1
"CIPC","CIPC",1.12747063833641,2.39433224652757,0.225139885872227,0.635152107217518,1
"NUTF2","NUTF2",0.28278385874791,5.89460369008737,0.22503538845763,0.635230623780528,1
"ADPRH","ADPRH",-0.447019281199162,4.72365750028329,0.224968796203398,0.635280671070788,1
"ZNF605","ZNF605",-0.335519129922859,5.39401621519449,0.224935553831483,0.635305657711623,1
"MYZAP","MYZAP",1.22143598047227,2.1251484344933,0.224518195084138,0.635619558177933,1
"ANP32B","ANP32B",0.786249103461261,3.39883689940501,0.224299410936112,0.635784251080288,1
"FBP2","FBP2",-0.167491299472233,9.45079705428236,0.224166792532665,0.635884129359774,1
"B4GALT6","B4GALT6",-0.878874729863561,3.1096588070591,0.224150867877529,0.635896125053042,1
"PTCD2","PTCD2",-0.618107093370439,3.97580680516429,0.22405301641391,0.635969845865696,1
"ERGIC3","ERGIC3",-0.715301407619673,3.6318187114698,0.223999349134073,0.636010286898743,1
"PATZ1","PATZ1",-1.30146839387408,1.86008658202252,0.22398833540277,0.636018587040432,1
"MCAT","MCAT",0.954676931594262,2.8769936980487,0.223846228615359,0.636125703624529,1
"TRIT1","TRIT1",-0.449573842350955,4.6987230640856,0.223706057439034,0.636231401966313,1
"SLC29A2","SLC29A2",1.25024323730166,1.99690453931439,0.22369062660291,0.636243040313613,1
"LOC101102543","LOC101102543",1.39082074954671,1.43823315214581,0.22359587824406,0.636314512817717,1
"EIF3M","EIF3M",0.22153554334836,6.81910679097907,0.223563176426175,0.636339185417607,1
"LAMA3","LAMA3",1.03252107817809,2.66843141666194,0.22355534879485,0.636345091472316,1
"EFCAB14","EFCAB14",0.224805233552705,6.73725717780782,0.223476440663985,0.636404635801446,1
"ZC3H18","ZC3H18",-1.35190221142115,1.62646161935468,0.223387058008274,0.63647209977862,1
"KRCC1","KRCC1",0.367125126372502,5.17920617094163,0.223363056762775,0.636490218180066,1
"KCTD19","KCTD19",-1.58470578892323,-0.169260621911563,0.223238443539344,0.636584307129006,1
"INO80D","INO80D",-0.234642045908818,6.54171573204866,0.22321282427342,0.636603654881974,1
"APBB2","APBB2",0.17990191952885,8.25033742888095,0.223112778666868,0.636679222659685,1
"MERTK","MERTK",1.26456766169346,1.94784602310428,0.223026773999393,0.636744201414702,1
"PDE8B","PDE8B",-1.14651936300871,2.31524955479168,0.2228744344193,0.636859335533512,1
"PBX3","PBX3",1.38361280287146,1.49535282887137,0.222687026937729,0.637001039046888,1
"TMEM44","TMEM44",1.45860804399268,1.18333435438105,0.222566078252094,0.637092530105204,1
"MTERF1","MTERF1",-0.462816343578994,4.62145772719937,0.222377567955357,0.6372351884415,1
"CLUH","CLUH",-1.01267406753624,2.70801811568722,0.222362988278696,0.637246224935887,1
"C15H11orf57","C15H11orf57",0.290192393332385,5.78502025450323,0.222243848276134,0.637336427873549,1
"PTPN1","PTPN1",1.08410692617954,2.50265446274634,0.222061094867485,0.637474851059954,1
"IFT57","IFT57",-1.04138524008233,2.62017489587934,0.222026935276411,0.637500732330876,1
"LOC105603718","LOC105603718",-1.40866065200146,1.42456852584878,0.221877722024216,0.637613813406635,1
"PEPD","PEPD",-1.15941448033688,2.27475211775304,0.221853433177644,0.637632225075147,1
"ARFGAP1","ARFGAP1",1.04560444550879,2.62452752917337,0.221596272178549,0.637827236347193,1
"USP38","USP38",0.247472275677101,6.30927063955516,0.221569121770425,0.637847833210487,1
"DENND1B","DENND1B",-0.235803005361278,6.50386724714887,0.221524346274785,0.637881804198792,1
"PRELID1","PRELID1",-1.35834895257458,1.61735091564335,0.221472699679074,0.637920993471896,1
"IAH1","IAH1",-0.689271462283776,3.71533870003796,0.221446071474676,0.637941201049707,1
"BMP8B","BMP8B",1.55266586567414,0.19832800352777,0.22142603357951,0.637956408360597,1
"OPCML","OPCML",-1.38293515163755,1.49595143001227,0.221310492275966,0.638044112238959,1
"SEC61A1","SEC61A1",0.801667821597646,3.33588419514439,0.221179843948076,0.638143317088755,1
"HNRNPC","HNRNPC",0.258853544059288,6.14466782422367,0.221010206624928,0.638272180753446,1
"YRDC","YRDC",-1.00560631663668,2.73585470570546,0.220815673760061,0.638420030471212,1
"LOC101111719","LOC101111719",1.45605798304997,1.16436577767504,0.22078938732184,0.63844001490182,1
"ENDOV","ENDOV",1.09497128349752,2.4509072429366,0.220751120191178,0.63846911032568,1
"SDE2","SDE2",-0.963795878445559,2.83237481808113,0.220699623924036,0.638508269040885,1
"LITAF","LITAF",0.544243024343813,4.2585021301954,0.220664923704488,0.638534658875572,1
"SEC13","SEC13",0.738927341007079,3.53486367472241,0.220368889101545,0.63875989893946,1
"EHD1","EHD1",-0.940599852148105,2.90822864739251,0.220259729315248,0.638843000542781,1
"CTU2","CTU2",1.42160371659531,1.23091123618177,0.220226272019492,0.638868476079205,1
"RCE1","RCE1",1.46422533317846,1.0774191710187,0.220184845338559,0.638900023051979,1
"VWA9","VWA9",1.0020445306523,2.71237282266671,0.220125315243232,0.638945362358638,1
"CHD1","CHD1",-0.215724735718991,6.91030499476742,0.220101330438917,0.638963631777523,1
"EIF2B3","EIF2B3",-0.609518966508777,3.98599409770258,0.22007695381337,0.638982200894286,1
"EVL","EVL",1.19327738807059,2.17304192221804,0.220021372186238,0.639024545398071,1
"TUBGCP3","TUBGCP3",0.897396665976997,3.03330614819539,0.219764498745176,0.639220327579069,1
"UHRF1","UHRF1",1.5102525232448,0.541762495524122,0.219727586486847,0.639248472598893,1
"PON3","PON3",-0.203251658124438,7.22870842194231,0.219635002969668,0.639319078771728,1
"GFOD2","GFOD2",-1.56822642014309,0.292309211396985,0.219622097461367,0.63932892222998,1
"TSPAN13","TSPAN13",0.205589802210138,7.18173599336044,0.219582408832431,0.639359196271192,1
"THYN1","THYN1",0.697957907971988,3.65737667694104,0.219536458673746,0.639394250705274,1
"IRAK4","IRAK4",0.733527870872733,3.53442591535246,0.219496561484537,0.639424691081936,1
