"","genes","logFC","logCPM","F","PValue","FDR"
"FASTKD2","FASTKD2",0.620900164466064,6.73415870316545,1.69469421907615,0.192985993622611,0.94226151814353
"TRMT112","TRMT112",1.44976529283941,4.3796071604524,1.6941490762673,0.193057602878035,0.94226151814353
"R3HCC1","R3HCC1",2.19826492283913,3.44163980605787,1.6938273728361,0.193099875990868,0.94226151814353
"PSMA3","PSMA3",0.700977352278682,6.23848784683628,1.69342148645033,0.19315322651084,0.94226151814353
"LOC105608590","LOC105608590",-4.01475726040322,1.01872019700884,1.692928873536,0.19321799967712,0.94226151814353
"GNAI1","GNAI1",-2.66482188115452,2.9818299134225,1.69036774692467,0.193555168908258,0.94226151814353
"KCNN3","KCNN3",-0.617823541074817,6.74699103007995,1.68965401815377,0.193649252925336,0.94226151814353
"LOC105612857","LOC105612857",-4.09222831584702,0.995493583863676,1.68930398182374,0.193695414393401,0.94226151814353
"STK32A","STK32A",-4.4052647780147,0.440705308573918,1.68863305811532,0.193783929236536,0.94226151814353
"LOC105603320","LOC105603320",3.89120096337565,1.87319973572196,1.6884980288661,0.193801749336364,0.94226151814353
"DBT","DBT",-1.29646339714641,4.61707884549464,1.68764510204756,0.193914356199263,0.94226151814353
"MED26","MED26",4.57275315392427,0.234914607373025,1.68758937530761,0.193921716131609,0.94226151814353
"SPATA2L","SPATA2L",-4.45670606093182,0.226450801483261,1.68744326015741,0.193941015377282,0.94226151814353
"NEDD1","NEDD1",0.625841222184186,6.69216976120073,1.68727186658257,0.193963656321,0.94226151814353
"TMED4","TMED4",1.01611621622521,5.17726828289634,1.68715344448292,0.193979301583705,0.94226151814353
"ITGB1","ITGB1",0.477251694954131,8.74696512033507,1.68670510970716,0.194038546425137,0.94226151814353
"LOC101112822","LOC101112822",3.7388559805193,2.07626047061557,1.68628038982434,0.19409469021113,0.94226151814353
"PTCD3","PTCD3",0.63055531802498,6.65199416066815,1.68599500839448,0.194132425495646,0.94226151814353
"RNF32","RNF32",4.77002579601018,0.638235824362009,1.68586582495916,0.194149509924102,0.94226151814353
"ANKRD40","ANKRD40",-0.56978953832429,7.17535711752476,1.68565489698561,0.194177408795624,0.94226151814353
"LOC106991816","LOC106991816",4.53211254933306,0.287556812836706,1.68554337438183,0.194192161482849,0.94226151814353
"RILPL1","RILPL1",-0.568981964734481,7.1707031377388,1.68505203682863,0.194257173327069,0.94226151814353
"LOC105602513","LOC105602513",-4.35791540818544,0.404701709930733,1.68499817196701,0.1942643020608,0.94226151814353
"SERPINB8","SERPINB8",4.64111916259564,0.0737548126271445,1.68465744539992,0.194309402535496,0.94226151814353
"TSACC","TSACC",4.64111916259564,0.0737548126271445,1.68465744539992,0.194309402535496,0.94226151814353
"FBLIM1","FBLIM1",-4.023290720629,1.73422350856691,1.68406756016048,0.194387512000972,0.94226151814353
"ZNF605","ZNF605",-0.926036186893334,5.39401621519449,1.68366733801892,0.194440528198526,0.94226151814353
"GOLPH3L","GOLPH3L",1.13725077022192,4.91455921154224,1.68346944748558,0.194466748397884,0.94226151814353
"LOC106991496","LOC106991496",-4.00425718097365,1.1079549251283,1.68317470937581,0.194505808423454,0.94226151814353
"RAB8A","RAB8A",-4.04906099382436,1.73021060276068,1.68279740539884,0.194555823844525,0.94226151814353
"UBE2F","UBE2F",2.36717522404463,3.26657153073812,1.68264619202957,0.194575872913795,0.94226151814353
"PRTFDC1","PRTFDC1",4.70377909052108,-0.0403071734759203,1.68261838800835,0.19457955965476,0.94226151814353
