"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SEMA3D",22.7312783906599,-1.08003385431651,1.88978684896703,-0.571510937811244,0.567653348153518,0.999521470518766
"SEMA3F",0.277422766110469,-2.90805318189823,4.31771963234854,-0.673515982860715,0.500619084078772,0.999521470518766
"SEMA3G",5.56125127392152,3.18300751448796,2.80157170045298,1.13615065214048,0.255893519316006,0.999521470518766
"SEMA4B",1.98260930194188,1.69510881141031,4.17436632480225,0.406075720125165,0.684686965037615,0.999521470518766
"SEMA4C",3.55567225082034,1.39652685134169,2.82254696171302,0.494775417481142,0.62075865860701,0.999521470518766
"SEMA4D",72.5394621077165,-2.62086234179837,0.775029989799733,-3.38162700320229,0.00072057914586173,0.243260968923412
"SEMA4F",1.43149107072466,-4.33036389929325,4.27375878061189,-1.0132448089813,0.310943242280381,0.999521470518766
"SEMA4G",0.752926610398146,-0.104436607899673,4.40735632393066,-0.02369597559712,0.981095116114168,0.999521470518766
"SEMA5A",47.6628908307184,0.615987760409573,0.817658192121405,0.753356067785977,0.451235974963833,0.999521470518766
"SEMA5B",0.987947559304306,4.26410206827597,4.2705207330406,0.998496983116141,0.318038426657737,0.999521470518766
"SEMA6A",28.0657246952614,-0.385712160867083,1.14142632489951,-0.337921206522935,0.735422566156734,0.999521470518766
"SEMA6B",1.66551208503426,2.53632045051971,4.32354608858742,0.586629678174281,0.557452445986498,0.999521470518766
"SEMA6C",44.8065951953694,0.0402989702646968,0.983490553238962,0.0409754523131705,0.967315465638386,0.999521470518766
"SEMA6D",63.0786996492069,0.723382561593812,1.14626526137114,0.631077801946571,0.527989654605087,0.999521470518766
"SEMA7A",11.5011300891144,4.67598795753796,2.90296339307285,1.61076366608548,0.107231243173478,0.999521470518766
"SENP1",57.8964151925141,-0.249324928806071,0.835163896059988,-0.29853413202163,0.765295529483907,0.999521470518766
"SENP2",219.913670548599,-0.314995363719294,0.615362399104028,-0.511885945871781,0.608730834746154,0.999521470518766
"SENP3",13.2025624705488,0.205978593532844,1.56726710886129,0.131425327800377,0.895438853745892,0.999521470518766
"SENP5",122.323273314031,0.458704698932412,0.487185436902615,0.941540251795548,0.346428071909346,0.999521470518766
"SENP6",402.562732912988,0.235666378095596,0.402829260399178,0.585027954181048,0.558528920563448,0.999521470518766
"SENP7",172.294279085833,0.797526514702365,0.480157361261846,1.66096904691095,0.0967196634573257,0.999521470518766
"SENP8",28.937503014716,-0.0222366347402877,1.68748480961396,-0.0131773836502711,0.989486273307831,0.999521470518766
"SEPHS1",41.5891803651713,0.766186380678895,1.30412420027299,0.587510285077532,0.556861044939927,0.999521470518766
"SEPHS2",37.3372069225341,1.0133978832307,0.957887295174405,1.05795106411364,0.290077753039671,0.999521470518766
"SEPN1",12.3316751420923,-0.438307443510825,1.52146116347979,-0.288083228170186,0.773283030642112,0.999521470518766
"SEPP1",542.505653159372,0.270092234507543,0.385081091577225,0.70139053933106,0.483059324479316,0.999521470518766
"SEPSECS",128.835988135701,-0.395251099421093,0.656079800150899,-0.602443634646555,0.546878872046954,0.999521470518766
"SEPT1",2.29572028061147,-2.5100243992436,4.33958991938295,-0.578401288110768,0.562993224501082,0.999521470518766
"SEPT10",81.0421370471966,0.581092737037401,0.933050575101728,0.622788038016102,0.533423820060269,0.999521470518766
"SEPT11",219.969342768898,-0.0470087427434123,0.500311903629023,-0.0939588732597273,0.925141826537429,0.999521470518766
"SEPT2",109.872432280317,-0.19576105890501,0.664059893364095,-0.294794281150294,0.768151035388157,0.999521470518766
"SEPT4",11.6932658660101,-0.20598647605056,1.78763834206346,-0.115228271403482,0.90826419058171,0.999521470518766
"SEPT6",14.4308395115863,1.68443142112264,2.2313063254781,0.754908190726218,0.450304070892574,0.999521470518766
"SEPT7",603.866084547469,0.0735676812291866,0.296784540064505,0.247882457803216,0.804225353046824,0.999521470518766
"SEPT8",13.4662811363752,-1.22928743336326,1.26758422877011,-0.969787573450629,0.332152388176477,0.999521470518766
"SEPT9",19.9430571979607,1.23492172424537,1.29059314125286,0.9568636968321,0.338636056877918,0.999521470518766
"SEPW1",79.042935174429,0.0936020597883864,0.816005326502659,0.11470765784037,0.908676843919565,0.999521470518766
"SERAC1",28.4025145115467,-0.340693547772244,1.78306395512071,-0.191071972933904,0.848469205437098,0.999521470518766
"SERBP1",1696.17151666913,0.0153645621018451,0.222061620483508,0.0691905339985853,0.944837957826026,0.999521470518766
"SERF2",341.516237684765,-0.098149796024703,0.465609320039897,-0.210798606901367,0.833044425651182,0.999521470518766
"SERGEF",4.08363622207813,-0.52005259504462,3.49583966053228,-0.148763285946998,0.881740421781813,0.999521470518766
"SERHL2",14.636376450446,-2.7418983018075,2.01336509436852,-1.36184853381869,0.173245691165195,0.999521470518766
"SERINC1",834.261696961929,0.235536059452385,0.290898012027273,0.809686040172397,0.418120643265102,0.999521470518766
"SERINC2",12.7575373188163,1.93786052456654,1.63409597839996,1.18589149608214,0.23566515190759,0.999521470518766
"SERINC3",142.73154720965,0.155554954947922,0.624699640545433,0.249007594773234,0.803354906640583,0.999521470518766
"SERINC4",29.9150809077177,0.285371512837243,0.886376151799383,0.321953058256279,0.747488256652944,0.999521470518766
"SERINC5",63.1974379362613,0.704696005967436,0.957477705921684,0.735992077527365,0.461735519201369,0.999521470518766
"SERP1",84.2500579294387,0.233042498933664,1.07755493914417,0.216269714395031,0.828777514844558,0.999521470518766
"SERPINA1",2.47165936166485,-0.104453282872353,4.40735632392494,-0.0236997590381647,0.981092098212501,0.999521470518766
"SERPINA10",11.0974119912881,2.6139783101426,2.82202398144304,0.926277851404349,0.354301603175863,0.999521470518766
"SERPINB1",12.4645825820928,-0.72074682455674,2.21219850845011,-0.325805673317131,0.744571386061564,0.999521470518766
"SERPINB5",3.70868544536558,-3.83873849830221,4.12422330334191,-0.930778528696939,0.351968138552226,0.999521470518766
"SERPINB8",0.849584002816113,3.88099272194531,4.27759444835665,0.907283934650772,0.364256667545795,0.999521470518766
"SERPINC1",2.59428287862922,4.30701337338012,4.26983701498917,1.00870673945175,0.313115298675062,0.999521470518766
"SERPIND1",1.55170890906085,0.883965758231122,4.13959897596147,0.213538983694866,0.830906585644761,0.999521470518766
"SERPINE2",18.5093630597643,-1.32746402332185,1.82090474199792,-0.729013436400489,0.465993443464306,0.999521470518766
"SERPINF1",68.801794200811,-0.119858443908878,0.725097786816606,-0.165299696245237,0.868708097892279,0.999521470518766
"SERPINF2",0.59700784743246,-0.104433478444063,4.40735632393272,-0.0236952655443289,0.981095682495298,0.999521470518766
"SERPING1",2.96735882134473,-2.5117577209197,4.29074041625771,-0.585390277025988,0.558285324971433,0.999521470518766
"SERPINH1",98.4426919476561,1.46773732968606,0.732433600592102,2.00391861938002,0.0450787786792337,0.999521470518766
"SERPINI1",2.85140848380686,6.10884035158624,4.25361021508002,1.43615424138512,0.150958456433544,0.999521470518766
"SERTAD1",12.3143493153283,0.616423251715007,1.75153709608724,0.351932741300219,0.724888704005911,0.999521470518766
"SERTAD2",28.8079309727513,0.252970683041182,1.55940385472453,0.162222686749655,0.87113049497953,0.999521470518766
"SERTAD3",25.7602535816778,-0.0485597182961033,1.2731533779162,-0.0381412947869504,0.969575026769986,0.999521470518766
"SERTAD4",5.27107095044009,6.56706233400552,3.89324836251312,1.68678227601345,0.0916452247362748,0.999521470518766
"SERTM1",2.85202254516653,5.19654220046589,4.25938536435845,1.22002161249587,0.22245668200224,0.999521470518766
"SESN1",617.945293134209,0.0101399838046275,0.53894961206553,0.0188143447506454,0.984989210392533,0.999521470518766
"SESN2",1.03809693189923,-0.104441209476419,4.40735632392837,-0.0236970196644615,0.98109428330281,0.999521470518766
"SESN3",71.0804211400501,0.155301057163072,0.78808778208485,0.197060607578803,0.843780109528431,0.999521470518766
"SESTD1",121.630088957768,0.558575489507832,0.610381354046555,0.915125414308164,0.360125794476612,0.999521470518766
"SET",206.828373720892,0.443989958461886,0.62735791899103,0.707713962032946,0.479122905192414,0.999521470518766
"SETBP1",149.165320826358,-0.1682802312417,0.62084900698154,-0.271048563095638,0.7863536817904,0.999521470518766
"SETD1A",2.36094928480547,-0.201982885662413,4.14770556179128,-0.0486974985695903,0.96116036936479,0.999521470518766
"SETD1B",3.25377393127515,0.238826190693868,2.82689361417244,0.0844836146279183,0.932671929895793,0.999521470518766
"SETD2",509.513381993476,0.278974310688427,0.384366682802324,0.725802529643031,0.467959835942006,0.999521470518766
"SETD3",112.637938318977,0.117704304438348,0.566931940415053,0.207616286978251,0.835528586292288,0.999521470518766
"SETD4",4.47594683875516,1.72251039246022,3.53191693162385,0.487698444161389,0.625763453953454,0.999521470518766
"SETD5",238.914459657401,-0.798955787821605,0.355607994011189,-2.24673179815094,0.0246571727749875,0.999521470518766
"SETD6",9.57547290315419,6.31527205912986,2.58541945394536,2.44264892858786,0.0145799126048226,0.92998131651305
"SETD7",1482.84649171137,-0.563401176485273,0.353886975727008,-1.59203704891329,0.111376380191844,0.999521470518766
"SETD9",6.06979119238119,0.251124476873598,3.45156421610152,0.0727567158397644,0.941999715379952,0.999521470518766
"SETDB1",46.7352361302284,-0.266404476273613,1.07322604626731,-0.248227740279105,0.803958204240735,0.999521470518766
"SETDB2",52.1692289151047,-0.899024118873585,0.895644690226173,-1.00377318001691,0.31548795455985,0.999521470518766
"SETMAR",17.4462235932631,-2.64808183726379,2.22155744339646,-1.19199341216009,0.233263828410754,0.999521470518766
"SETX",424.259034685483,-0.0070896297796559,0.332228985948862,-0.021339588294524,0.982974764128773,0.999521470518766
"SEZ6",0.546948545169801,-3.21921439698681,4.30423186967853,-0.747918442699333,0.454509352592051,0.999521470518766
"SF1",44.1060283840249,-0.370466889680038,0.965750301677409,-0.383605253901112,0.701271045361119,0.999521470518766
"SF3A1",24.3487505874494,-0.663144883206749,1.00602676762535,-0.659172205499117,0.509785193007139,0.999521470518766
"SF3A2",5.12476940884709,-0.467124505133871,2.64398515192104,-0.176674405601133,0.859764145964753,0.999521470518766
"SF3A3",81.0936324028831,0.463348822584436,0.686553608841694,0.674890957701273,0.499745045813147,0.999521470518766
"SF3B1",1499.76514548933,0.0745776487436793,0.251798125464034,0.29618031749141,0.767092379235992,0.999521470518766
"SF3B2",45.225530843598,0.624547569862977,0.742887788558682,0.840702431082756,0.400514658309633,0.999521470518766
"SF3B3",147.328404149165,-0.42254033690425,0.582030623723741,-0.725976125106448,0.467853406882161,0.999521470518766
"SF3B4",9.5756728544372,-4.46164701321933,3.01067925270574,-1.48194033263742,0.138356172035832,0.999521470518766
"SF3B5",28.9877734444327,1.60849308272801,1.29112172311122,1.24581056451596,0.212833950139376,0.999521470518766
"SF3B6",50.6359247959812,-0.174185969710281,0.785542170099093,-0.221739807664696,0.824516439378904,0.999521470518766
"SFI1",3.45335127036157,-1.65002290340146,4.15410552175586,-0.397202934484926,0.691217818415781,0.999521470518766
"SFMBT1",58.7730593776092,-0.241652398899274,0.805342100028875,-0.300061798446412,0.764130017710132,0.999521470518766
"SFPQ",362.285238941303,-0.0533067544808155,0.446856678906061,-0.119292732988381,0.905043440623889,0.999521470518766
"SFR1",13.5934140655239,-0.952895763602152,2.39780516573003,-0.397403332523073,0.691070058415842,0.999521470518766
"SFRP1",24.9457336285079,-1.20023804299542,1.71897210388368,-0.698230087785437,0.485033312967125,0.999521470518766
"SFRP2",2.6775026957026,-6.11644507180237,4.25484021984486,-1.43752638307658,0.150568481772217,0.999521470518766
"SFRP4",18.1306325356609,6.14145368119451,2.14450220469861,2.86381318132411,0.0041857480135753,0.613976617481745
"SFRP5",2.45490066248769,-5.32929857813265,4.26046835339613,-1.25087153244186,0.210981351522423,0.999521470518766
"SFSWAP",11.1116177143667,0.688472145066158,1.85074035594978,0.371998234572911,0.709894163788505,0.999521470518766
"SFT2D1",7.59211150413806,-0.122061964152303,2.82943918941355,-0.0431399849867785,0.965589945542946,0.999521470518766
"SFT2D2",108.721355140791,0.467844953580441,0.805659490047311,0.580698122916628,0.561443927044178,0.999521470518766
"SFT2D3",23.1322200732733,-0.839311714533331,1.60259449186782,-0.523720578594472,0.60047290040558,0.999521470518766
"SFXN1",34.9004257530963,1.19122449915987,1.34300385067862,0.886985170264359,0.375086884686923,0.999521470518766
"SFXN2",2.12791870878128,-4.81542560131038,4.26617607969784,-1.12874515991648,0.259005352747058,0.999521470518766
"SFXN3",6.88374929321884,5.08569150688474,3.09360027396675,1.64393944158909,0.100188712006936,0.999521470518766
"SFXN4",32.1713183607635,0.362899179253825,1.12863894785275,0.321536998119945,0.747803479083258,0.999521470518766
"SFXN5",2.14365707006752,-2.64553103030556,4.15698035302419,-0.636406912142595,0.524511236811447,0.999521470518766
"SGCA",87.4767678291746,-0.0715256618615599,0.595919160347705,-0.120025779704459,0.904462726328818,0.999521470518766
"SGCB",327.971313680536,-0.338308602750515,0.471479237441362,-0.71754719165675,0.473036528631345,0.999521470518766
"SGCD",689.801716137549,-0.354143957131407,0.358724695766181,-0.98723048987472,0.323529657861877,0.999521470518766
"SGCE",27.4869794514966,0.732096685867521,1.28644792666813,0.56908380875053,0.569299265748387,0.999521470518766
"SGCG",75.8814225869232,-0.712774306398143,0.689601006862088,-1.03360392358112,0.301321364390376,0.999521470518766
"SGF29",2.92853987807074,0.299847856552125,3.94580673080457,0.075991521381734,0.939425843651255,0.999521470518766
"SGIP1",10.9102504724656,0.0460764704879579,2.14433473695087,0.0214875362945788,0.982856745765046,0.999521470518766
"SGK1",19.723831358445,1.59425263978265,1.67759522620549,0.950320205302833,0.341949575249594,0.999521470518766
"SGK3",27.1499643483749,2.5582203682128,1.45695633106889,1.75586619424342,0.0791112584744493,0.999521470518766
"SGMS1",82.3051962666927,-0.959495675119758,0.668064826112258,-1.43623139194957,0.150936509166152,0.999521470518766
"SGMS2",21.4608543455681,-0.963754323489925,1.81362308230417,-0.531397252766267,0.595143524857534,0.999521470518766
"SGOL1",2.11968963409789,-5.77848931975618,4.25688965805973,-1.35744399876928,0.174640175998275,0.999521470518766
"SGOL2",66.5175946621159,-0.73342664277202,1.02681501034663,-0.714273394313189,0.475058140674202,0.999521470518766
"SGPL1",7.12527010926065,0.378086937442372,2.55876332756297,0.147761589893689,0.882530923339245,0.999521470518766
"SGPP1",31.7407046260993,1.99169749707728,1.26189775471961,1.5783350827182,0.11448865027506,0.999521470518766
"SGSH",4.94242619894302,0.104509503135319,3.69647625353946,0.0282727375930655,0.977444624154154,0.999521470518766
"SGSM1",2.46574119755566,2.50538920763773,3.90306617666695,0.641902825684915,0.520936279434654,0.999521470518766
"SGSM3",8.13333698994026,-1.82053798990376,2.49736042528975,-0.728984879982848,0.466010911461201,0.999521470518766
"SGTA",25.2766450825582,1.50840014998197,1.18899309592656,1.2686365927184,0.204570706847334,0.999521470518766
